neighborhood,proposed_district
abell,northern
allendale,southwestern
arcadia,northeastern
arlington,northwestern
armistead gardens,eastern
ashburton,northwestern
baltimore highlands,southeastern
barclay,eastern
barre circle,southern
bayview,southeastern
beechfield,southwestern
belair-edison,eastern
belair-parkside,northeastern
bellona-gittings,northern
belvedere,northern
berea,eastern
better waverly,northern
beverly hills,northeastern
biddle street,southeastern
blythewood,northern
bolton hill,western
boyd-booth,southwestern
brewers hill,southeastern
bridgeview/greenlawn,western
broadway east,eastern
broening manor,southeastern
brooklyn,southern
burleith-leighton,northwestern
butcher's hill,southeastern
callaway-garrison,northwestern
cameron village,northeastern
canton,southeastern
canton industrial area,southeastern
care,southeastern
carroll - camden industrial area,southern
carroll park,southern
carroll-south hilton,southwestern
carrollton ridge,southwestern
cedarcroft,northern
cedmont,northeastern
cedonia,northeastern
central forest park,northwestern
central park heights,northern
charles north,eastern
charles village,northern
cherry hill,southern
cheswolde,northwestern
chinquapin park,northeastern
clifton park,eastern
coldspring,northern
coldstream homestead montebello,eastern
concerned citizens of forest park,northwestern
coppin heights/ash-co-east,western
cross country,northwestern
cross keys,northern
curtis bay,southern
curtis bay industrial area,southern
cylburn,northern
darley park,eastern
dickeyville,northwestern
dolfield,northwestern
dorchester,northwestern
downtown,central
downtown west,central
druid heights,western
druid hill park,northern
dunbar-broadway,central
dundalk marine terminal,southeastern
east arlington,northwestern
east baltimore midway,eastern
easterwood,western
eastwood,southeastern
edgewood,southwestern
edmondson village,southwestern
ednor gardens-lakeside,northeastern
ellwood park/monument,southeastern
evergreen,northern
evergreen lawn,western
evesham park,northeastern
fairfield area,southern
fairmont,northwestern
fallstaff,northwestern
federal hill,southern
fells point,central
forest park,northwestern
forest park golf course,northwestern
four by four,eastern
frankford,northeastern
franklin square,southwestern
franklintown,northwestern
franklintown road,western
garwyn oaks,northwestern
gay street,central
glen,northwestern
glen oaks,northeastern
glenham-belhar,northeastern
graceland park,southeastern
greektown,southeastern
greenmount cemetery,eastern
greenmount west,eastern
greenspring,northern
grove park,northwestern
guilford,northern
gwynns falls,southwestern
gwynns falls/leakin park,northwestern
hamilton hills,northeastern
hampden,northern
hanlon-longwood,northwestern
harlem park,western
harwood,northern
hawkins point,southern
heritage crossing,western
herring run park,northeastern
highlandtown,southeastern
hillen,northeastern
hoes heights,northern
holabird industrial park,southeastern
hollins market,southwestern
homeland,northern
hopkins bayview,southeastern
howard park,northwestern
hunting ridge,southwestern
idlewood,northeastern
inner harbor,central
irvington,southwestern
johns hopkins homewood,northern
johnston square,central
jones falls area,northern
jonestown,central
kenilworth park,northeastern
kernewood,northern
keswick,northern
kresson,southeastern
lake evesham,northern
lake walker,northeastern
lakeland,southern
langston hughes,northwestern
lauraville,northeastern
levindale,northern
liberty square,northern
little italy,central
loch raven,northeastern
locust point,southern
locust point industrial area,southern
lower edmondson village,southwestern
lower herring run park,northeastern
loyola/notre dame,northern
lucille park,northwestern
madison park,western
madison-eastend,southeastern
mayfield,northeastern
mcelderry park,southeastern
medfield,northern
medford,southeastern
mid-govans,northern
mid-town belvedere,central
middle branch/reedbird parks,southern
middle east,southeastern
midtown-edmondson,western
millhill,southwestern
milton-montford,southeastern
mondawmin,western
montebello,northeastern
moravia-walther,northeastern
morgan park,northeastern
morgan state university,northeastern
morrell park,southern
mosher,western
mount holly,northwestern
mount vernon,central
mount washington,northwestern
mount winans,southern
mt pleasant park,northeastern
new northwood,northeastern
new southwest/mount clare,southwestern
north harford road,northeastern
north roland park/poplar hill,northern
northwest community action,northwestern
o'donnell heights,southeastern
oakenshawe,northern
oaklee,southern
old goucher,eastern
oldtown,central
oliver,eastern
orangeville,eastern
orangeville industrial area,eastern
orchard ridge,eastern
original northwood,northeastern
otterbein,southern
overlea,northeastern
panway/braddish avenue,western
park circle,northern
parklane,northern
parkside,northeastern
parkview/woodbrook,western
patterson park,southeastern
patterson park neighborhood,southeastern
patterson place,southeastern
pen lucy,northern
penn north,western
penn-fallsway,central
penrose/fayette street outreach,southwestern
perkins homes,central
perring loch,northeastern
pimlico good neighbors,northwestern
pleasant view gardens,central
poppleton,southwestern
port covington,southern
pulaski industrial area,southeastern
purnell,northwestern
radnor-winston,northern
ramblewood,northeastern
reisterstown station,northwestern
remington,northern
reservoir hill,western
richnor springs,northern
ridgely's delight,southern
riverside,southern
rognel heights,southwestern
roland park,northern
rosebank,northern
rosemont,northwestern
rosemont east,northeastern
rosemont homeowners/tenants,western
sabina-mattfeldt,northern
saint agnes,southwestern
saint helena,southeastern
saint josephs,southwestern
saint paul,southern
sandtown-winchester,western
seton business park,northwestern
seton hill,central
sharp-leadenhall,southern
shipley hill,southwestern
south baltimore,southern
south clifton park,eastern
spring garden industrial area,southern
stadium area,southern
stonewood-pentwood-winston,northeastern
taylor heights,northeastern
ten hills,southwestern
the orchards,northern
towanda-grantley,northern
tremont,southwestern
tuscany-canterbury,northern
union square,southwestern
university of maryland,central
uplands,southwestern
upper fells point,central
upton,western
villages of homeland,northern
violetville,southern
wakefield,northwestern
walbrook,northwestern
waltherson,northeastern
washington hill,central
washington village/pigtown,southern
waverly,northern
west arlington,northwestern
west forest park,northwestern
west hills,southwestern
westfield,northeastern
westgate,southwestern
westport,southern
wilhelm park,southern
wilson park,northern
winchester,western
windsor hills,northwestern
winston-govans,northern
woodberry,northern
woodbourne heights,northeastern
woodbourne-mccabe,northern
woodmere,northwestern
wrenlane,northern
wyman park,northern
wyndhurst,northern
yale heights,southwestern
york-homeland,northern
