school_number,school_name,address,fulladdr,geometry
858,youth opportunity,1510 west lafayette avenue,1510 w lafayette ave,"list(list(c(-76.6428579148287, -76.6425471589724, -76.6425312552966, -76.6423123503706, -76.6423017485683, -76.6422766471445, -76.6428336369168, -76.6428579148287, 39.2994180913912, 39.2994271662153, 39.299427667459, 39.2994340297484, 39.2994343545206, 39.2990097126117, 39.2989905690184, 39.2994180913912)))"
430,augusta fells savage institute of visual arts,1500 harlem avenue,1500 harlem ave,"list(list(c(-76.6413920763803, -76.6413927144697, -76.6414492295068, -76.6424636554885, -76.6426975487297, -76.6427503495852, -76.6427508381732, -76.6427562573988, -76.641339639213, -76.6414083931178, -76.6402310775115, -76.6401594922242, -76.6401590744935, -76.6400496880005, -76.6413920763803, 39.2954393049392, 39.2954530068716, 39.2966801768068, 39.2966519421809, 39.2965372862952, 39.297524486234, 39.2975327251355, 39.2976284769724, 39.2976758585126, 39.2988585337756, 39.298899439156, 39.2975334101167, 
39.2975251714205, 39.2954829431347, 39.2954393049392)))"
364,bluford drew jemison stem academy west,1500 harlem avenue,1500 harlem ave,"list(list(c(-76.6413920763803, -76.6413927144697, -76.6414492295068, -76.6424636554885, -76.6426975487297, -76.6427503495852, -76.6427508381732, -76.6427562573988, -76.641339639213, -76.6414083931178, -76.6402310775115, -76.6401594922242, -76.6401590744935, -76.6400496880005, -76.6413920763803, 39.2954393049392, 39.2954530068716, 39.2966801768068, 39.2966519421809, 39.2965372862952, 39.297524486234, 39.2975327251355, 39.2976284769724, 39.2976758585126, 39.2988585337756, 39.298899439156, 39.2975334101167, 
39.2975251714205, 39.2954829431347, 39.2954393049392)))"
178,excel academy at francis m. wood high school,1001 w saratoga street,1001 w saratoga st,"list(list(c(-76.6360967772491, -76.6361595610926, -76.6343192103637, -76.6340948003216, -76.6340242065802, -76.634318817659, -76.6360967772491, 39.2910139962639, 39.2922817685717, 39.2923604797699, 39.2923695549028, 39.2910753452779, 39.2910663229555, 39.2910139962639)))"
429,vivien t. thomas medical arts academy,100 n calhoun street,100 n calhoun st,"list(list(c(-76.6397942077184, -76.6397720395502, -76.639749003676, -76.6409286185136, -76.6409470276681, -76.6409614880625, -76.6397942077184, 39.2907122929518, 39.2902771422526, 39.2898248293802, 39.2897813834455, 39.2902768680143, 39.2906658427949, 39.2907122929518)))"
433,renaissance academy,1301 mcculloh street,1300 madison ave,"list(list(c(-76.6271917485779, -76.627202391264, -76.627800547177, -76.6278111897261, -76.6286067423282, -76.6283155049566, -76.6279992564674, -76.6271917485779, 39.303141236284, 39.3031332533388, 39.3026841445214, 39.3026761615201, 39.303338781933, 39.3035572824762, 39.3037949204403, 39.303141236284)))"
345,joseph c. briscoe academy,900 druid hill avenue,507 w preston st,"list(list(c(-76.625937767281, -76.626297094895, -76.6271146997212, -76.6271318351774, -76.6255880205431, -76.6249925037062, -76.6243574115074, -76.6255457954583, -76.6259303073994, -76.625937767281, 39.2972338227777, 39.2975276941652, 39.2981962423959, 39.2982102174558, 39.2994829877437, 39.2990008161061, 39.2984869132189, 39.297527882943, 39.2972277868325, 39.2972338227777)))"
415,baltimore school for the arts,712 cathedral street,712 cathedral st,"list(list(c(-76.6171668474918, -76.617697006113, -76.6177067687314, -76.6177376398661, -76.6172079646536, -76.6171766082112, -76.6171668474918, 39.2977857255019, 39.2977623585791, 39.297917374813, 39.2984180097856, 39.2984363826075, 39.2979408795354, 39.2977857255019)))"
348,baltimore leadership school for young women,128 w franklin street,126 w franklin st,"list(list(c(-76.6178950133612, -76.6181251971269, -76.6181606211713, -76.617917225551, -76.6179148183739, -76.6178950133612, 39.2951144855627, 39.2951042512078, 39.2954944227324, 39.295503734222, 39.2954585906184, 39.2951144855627)))"
382,baltimore design school,1500 barclay street,1500 barclay st,"list(list(c(-76.6108324722032, -76.6107811438244, -76.610982015042, -76.6109996888221, -76.6110102924871, -76.6113635227051, -76.6113816485068, -76.6114176702676, -76.6114181916281, -76.6114075858808, -76.6110102731272, -76.6109996691766, -76.6108324722032, 39.3078031657609, 39.306923607978, 39.3069173008903, 39.3069167282412, 39.3069162966517, 39.306902063199, 39.3071927896393, 39.307771359988, 39.3077795710001, 39.3077800293281, 39.3077960118864, 39.3077964715893, 39.3078031657609)))"
