crime_date_time,location,district,neighborhood,description,race,weapon,premise,year,month,date,time_range,during_or_just_after_school,hour,around_lunch,quarter,longitude,latitude,victims,average_age,juvenile_victims,academic_year,time,id,near_school_within,geometry
2016-04-28T13:39:00Z,2200 Bryant Av,western,Parkview/Woodbrook,shooting,black_or_african_american,firearm,Street,2016,4,2016-04-28,early afternoon,TRUE,13,FALSE,2,-76.6494532255607,39.3164921464456,1,18,1,2015 - 2016,01:39:00 PM,59378,TRUE,"c(-76.6494532255607, 39.3164921464456)"
2016-05-02T15:44:00Z,3600 St Victor St,southern,Brooklyn,homicide,black_or_african_american,firearm,Street,2016,5,2016-05-02,after school,TRUE,15,FALSE,2,-76.5966677825053,39.2344966602474,1,16,1,2015 - 2016,03:44:00 PM,59864,TRUE,"c(-76.5966677825053, 39.2344966602474)"
2016-05-23T15:15:00Z,4100 Eldorado Av,northwest,Howard Park,shooting,black_or_african_american,firearm,Street,2016,5,2016-05-23,after school,TRUE,15,FALSE,2,-76.6894165561275,39.3351242366656,1,16,1,2015 - 2016,03:15:00 PM,62539,TRUE,"c(-76.6894165561275, 39.3351242366656)"
2017-01-10T17:15:00Z,900 Pennsylvania Av,central,Heritage Crossing,shooting,black_or_african_american,firearm,Street,2017,1,2017-01-10,evening,TRUE,17,FALSE,1,-76.6268132806196,39.2968541377561,1,16,1,2016 - 2017,05:15:00 PM,94557,TRUE,"c(-76.6268132806196, 39.2968541377561)"
2017-04-15T15:00:00Z,2200 Fleetwood Av,northeast,Hamilton Hills,shooting,black_or_african_american,firearm,Street,2017,4,2017-04-15,after school,TRUE,15,FALSE,2,-76.5713637027385,39.3671250083083,1,18,1,2016 - 2017,03:00:00 PM,106987,TRUE,"c(-76.5713637027385, 39.3671250083083)"
2017-12-10T15:46:00Z,1500 Abbotston St,northeast,Coldstream Homestead Montebello,shooting,white,firearm,Public Area,2017,12,2017-12-10,after school,TRUE,15,FALSE,4,-76.5959845344079,39.3239995643649,1,17,1,2017 - 2018,03:46:00 PM,141333,TRUE,"c(-76.5959845344079, 39.3239995643649)"
2018-09-01T17:11:00Z,4500 Edmondson Av,southwest,Rognel Heights,shooting,black_or_african_american,firearm,Street,2018,9,2018-09-01,evening,TRUE,17,FALSE,3,-76.6911494265714,39.2943990800865,1,17,1,2018 - 2019,05:11:00 PM,174515,TRUE,"c(-76.6911494265714, 39.2943990800865)"
2018-09-28T13:34:00Z,1200 Druid Hill Av,central,Upton,homicide,black_or_african_american,firearm,Street,2018,9,2018-09-28,early afternoon,TRUE,13,FALSE,3,-76.6278019870797,39.3011592015488,1,17,1,2018 - 2019,01:34:00 PM,178174,TRUE,"c(-76.6278019870797, 39.3011592015488)"
2019-01-02T17:16:00Z,500 Dolphin St,central,Upton,shooting,black_or_african_american,firearm,Street,2019,1,2019-01-02,evening,TRUE,17,FALSE,1,-76.6280940614728,39.3009240255429,1,18,1,2018 - 2019,05:16:00 PM,191402,TRUE,"c(-76.6280940614728, 39.3009240255429)"
2019-04-03T13:28:00Z,100 N Hilton St,southwest,Carroll-South Hilton,shooting,black_or_african_american,firearm,Public Area,2019,4,2019-04-03,early afternoon,TRUE,13,FALSE,2,-76.6718712118694,39.2875464725273,2,18,2,2018 - 2019,01:28:00 PM,201545,TRUE,"c(-76.6718712118694, 39.2875464725273)"
2020-11-20T15:10:00Z,2400 Presbury St,western,Coppin Heights/Ash-Co-East,shooting,black_or_african_american,firearm,Street,2020,11,2020-11-20,after school,TRUE,15,FALSE,4,-76.6562949944374,39.3077348483807,1,17,1,2020 - 2021,03:10:00 PM,267652,TRUE,"c(-76.6562949944374, 39.3077348483807)"
2022-01-23T14:15:00Z,1400 Union Ave,northern,Hampden,shooting,black_or_african_american,firearm,Parking Lot,2022,1,2022-01-23,early afternoon,TRUE,14,FALSE,1,-76.639126839756543,39.3325496755253,2,20.5,1,2021 - 2022,02:15:00 PM,308812,TRUE,"c(-76.6391268397565, 39.3325496755253)"
2022-03-15T15:13:00Z,400 N Central Ave,eastern,Dunbar-Broadway,shooting,black_or_african_american,firearm,Public School,2022,3,2022-03-15,after school,TRUE,15,FALSE,1,-76.5985059529043,39.2949142857475,1,18,1,2021 - 2022,03:13:00 PM,313283,TRUE,"c(-76.5985059529043, 39.2949142857475)"
2022-05-20T18:00:00Z,1600 Normal Ave,eastern,Darley Park,shooting,black_or_african_american,firearm,Street,2022,5,2022-05-20,evening,TRUE,18,FALSE,2,-76.595289872146111,39.316125111947372,2,18,1,2021 - 2022,06:00:00 PM,319715,TRUE,"c(-76.5952898721461, 39.3161251119474)"
2022-05-23T17:10:00Z,2300 Harford Rd,eastern,East Baltimore Midway,shooting,black_or_african_american,firearm,Parking Lot,2022,5,2022-05-23,evening,TRUE,17,FALSE,2,-76.5963888193494,39.3159918564562,2,14.5,2,2021 - 2022,05:10:00 PM,320061,TRUE,"c(-76.5963888193494, 39.3159918564562)"
2022-09-02T14:54:54Z,3500 Hillen Rd,northeast,Ednor Gardens-Lakeside,homicide,black_or_african_american,firearm,Public School,2022,9,2022-09-02,early afternoon,TRUE,14,FALSE,3,-76.5910851679396,39.3325335460544,1,17,1,2022 - 2023,02:54:54 PM,331608,TRUE,"c(-76.5910851679396, 39.3325335460544)"
2022-09-07T16:00:36Z,1500 N Smallwood St,western,Coppin Heights/Ash-Co-East,shooting,black_or_african_american,firearm,Street,2022,9,2022-09-07,after school,TRUE,16,FALSE,3,-76.6527251375189,39.3054786257714,1,15,1,2022 - 2023,04:00:36 PM,332175,TRUE,"c(-76.6527251375189, 39.3054786257714)"
2022-11-15T17:20:49Z,1400 E Fayette St,southeast,Dunbar-Broadway,homicide,black_or_african_american,firearm,Parking Lot,2022,11,2022-11-15,evening,TRUE,17,FALSE,4,-76.5976861933872,39.2933463821611,1,13,1,2022 - 2023,05:20:49 PM,340025,TRUE,"c(-76.5976861933872, 39.2933463821611)"
2022-12-04T16:22:54Z,700 N Caroline St,eastern,Gay Street,shooting,black_or_african_american,firearm,Street,2022,12,2022-12-04,after school,TRUE,16,FALSE,4,-76.597677116876,39.2982907092743,1,15,1,2022 - 2023,04:22:54 PM,341994,TRUE,"c(-76.597677116876, 39.2982907092743)"
2023-01-04T16:09:19Z,4400 Edmondson Ave,southwest,Rognel Heights,homicide,black_or_african_american,firearm,Street,2023,1,2023-01-04,after school,TRUE,16,FALSE,1,-76.689474760827252,39.293639365135974,1,16,1,2022 - 2023,04:09:19 PM,345054,TRUE,"c(-76.6894747608273, 39.293639365136)"
2023-01-04T16:09:19Z,4400 Edmondson Ave,southwest,Rognel Heights,shooting,black_or_african_american,firearm,Street,2023,1,2023-01-04,after school,TRUE,16,FALSE,1,-76.689474760827252,39.293639365135974,4,17.25,4,2022 - 2023,04:09:19 PM,345055,TRUE,"c(-76.6894747608273, 39.293639365136)"
2023-01-06T14:05:07Z,1100 Cambria St,southern,Curtis Bay,shooting,black_or_african_american,firearm,Street,2023,1,2023-01-06,early afternoon,TRUE,14,FALSE,1,-76.5939402316336,39.2331446723646,2,16.5,2,2022 - 2023,02:05:07 PM,345231,TRUE,"c(-76.5939402316336, 39.2331446723646)"
2023-01-13T14:22:31Z,0 Caton Av,southwest,Saint Josephs,homicide,black_or_african_american,firearm,Street,2023,1,2023-01-13,early afternoon,TRUE,14,FALSE,1,-76.673086332941395,39.285763260981867,1,18,1,2022 - 2023,02:22:31 PM,345876,TRUE,"c(-76.6730863329414, 39.2857632609819)"
